userID-itemID,prediction
U933587949-I010301609,3.67729554204
U064807622-I336587755,3.67729554204
U988244987-I994060971,3.67729554204
U091396906-I517325453,3.67729554204
U611098313-I868957733,3.67729554204
U470147592-I971353079,3.67729554204
U642550079-I108046320,3.67729554204
U458809452-I297551242,3.67729554204
U641437738-I585442251,3.67729554204
U329819730-I925616028,3.67729554204
U052604462-I765002130,3.67729554204
U824612778-I714682443,3.67729554204
U482892761-I933021836,3.67729554204
U265825669-I762483522,3.67729554204
U062619954-I113578213,3.67729554204
U769188461-I630927268,3.67729554204
U949838581-I708779435,3.67729554204
U444137609-I882201500,3.67729554204
U509523072-I416273386,3.67729554204
U405197419-I055750917,3.67729554204
U408965857-I958381424,3.67729554204
U563638872-I310196249,3.67729554204
U807982264-I676257888,3.67729554204
U446408550-I889844580,3.67729554204
U178292422-I295384611,3.67729554204
U422861835-I604143652,3.67729554204
U905871368-I736806161,3.67729554204
U179466051-I640971303,3.67729554204
U243905586-I042603033,3.67729554204
U699187918-I473047248,3.67729554204
U858835247-I456343125,3.67729554204
U184953005-I391083319,3.67729554204
U534878131-I850903450,3.67729554204
U118334897-I344256827,3.67729554204
U538098593-I475317195,3.67729554204
U583018227-I410988505,3.67729554204
U168804201-I226183962,3.67729554204
U304305484-I141763972,3.67729554204
U583515013-I129901411,3.67729554204
U515365393-I664952547,3.67729554204
U048025718-I037892797,3.67729554204
U308060163-I563123956,3.67729554204
U383808534-I008264860,3.67729554204
U085499719-I652138674,3.67729554204
U762454424-I534512330,3.67729554204
U970224950-I244163965,3.67729554204
U570673335-I809671313,3.67729554204
U518950835-I344218504,3.67729554204
U852382819-I757856262,3.67729554204
U901991229-I225110717,3.67729554204
U918795901-I048078507,3.67729554204
U137859874-I609621397,3.67729554204
U451215230-I577345189,3.67729554204
U002267338-I321857800,3.67729554204
U499214404-I245703065,3.67729554204
U382395297-I902752075,3.67729554204
U939576672-I206465969,3.67729554204
U311500899-I636785611,3.67729554204
U244323813-I133497737,3.67729554204
U311883351-I855864585,3.67729554204
U144913822-I947490933,3.67729554204
U701727338-I751477616,3.67729554204
U297437253-I139841310,3.67729554204
U509648507-I758176428,3.67729554204
U269484324-I311659283,3.67729554204
U657965024-I675887194,3.67729554204
U497971208-I448947171,3.67729554204
U976201703-I346231233,3.67729554204
U377003929-I010548037,3.67729554204
U997101302-I057676794,3.67729554204
U135622461-I106985486,3.67729554204
U400070945-I930328498,3.67729554204
U110337132-I947062364,3.67729554204
U002590394-I439921991,3.67729554204
U036981407-I977004012,3.67729554204
U499267825-I605653343,3.67729554204
U978125653-I998329803,3.67729554204
U149791803-I040324886,3.67729554204
U896846547-I319890008,3.67729554204
